API Name,Instance Family,Instance Size,Category,vCPUs,Memory (GiB),Network (Gbps),Region,Pricing Model,OS,Hourly Cost ($),Monthly Cost ($),Memory per vCPU (GiB),Cost per vCPU ($/hr),Cost per GiB ($/hr)
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,OnDemand,Linux,0.0052,3.8,0.25,0.0026,0.0104
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,OnDemand,Windows,0.0076,5.55,0.25,0.0038,0.0152
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,OnDemand,RHEL,0.0056,4.09,0.25,0.0028,0.0112
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-1yr,Linux,0.0031,2.26,0.25,0.0015,0.0062
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-1yr,Windows,0.0046,3.36,0.25,0.0023,0.0092
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-1yr,RHEL,0.0033,2.41,0.25,0.0016,0.0066
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-3yr,Linux,0.0021,1.53,0.25,0.001,0.0042
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-3yr,Windows,0.003,2.19,0.25,0.0015,0.006
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Reserved-3yr,RHEL,0.0022,1.61,0.25,0.0011,0.0044
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Spot,Linux,0.0016,1.17,0.25,0.0008,0.0032
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Spot,Windows,0.0023,1.68,0.25,0.0011,0.0046
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-east-1,Spot,RHEL,0.0017,1.24,0.25,0.0008,0.0034
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,OnDemand,Linux,0.0054,3.94,0.25,0.0027,0.0108
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,OnDemand,Windows,0.0078,5.69,0.25,0.0039,0.0156
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,OnDemand,RHEL,0.0057,4.16,0.25,0.0029,0.0114
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-1yr,Linux,0.0032,2.34,0.25,0.0016,0.0064
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-1yr,Windows,0.0047,3.43,0.25,0.0024,0.0094
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-1yr,RHEL,0.0034,2.48,0.25,0.0017,0.0068
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-3yr,Linux,0.0021,1.53,0.25,0.001,0.0042
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-3yr,Windows,0.0031,2.26,0.25,0.0015,0.0062
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Reserved-3yr,RHEL,0.0023,1.68,0.25,0.0011,0.0046
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Spot,Linux,0.0016,1.17,0.25,0.0008,0.0032
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Spot,Windows,0.0023,1.68,0.25,0.0011,0.0046
t3.nano,t3,nano,Burstable,2,0.5,5.0,us-west-2,Spot,RHEL,0.0017,1.24,0.25,0.0008,0.0034
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,OnDemand,Linux,0.0057,4.16,0.25,0.0029,0.0114
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,OnDemand,Windows,0.0084,6.13,0.25,0.0042,0.0168
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,OnDemand,RHEL,0.0061,4.45,0.25,0.0031,0.0122
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-1yr,Linux,0.0034,2.48,0.25,0.0017,0.0068
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-1yr,Windows,0.005,3.65,0.25,0.0025,0.01
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-1yr,RHEL,0.0037,2.7,0.25,0.0019,0.0074
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-3yr,Linux,0.0023,1.68,0.25,0.0011,0.0046
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-3yr,Windows,0.0033,2.41,0.25,0.0016,0.0066
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Reserved-3yr,RHEL,0.0024,1.75,0.25,0.0012,0.0048
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Spot,Linux,0.0017,1.24,0.25,0.0008,0.0034
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Spot,Windows,0.0025,1.82,0.25,0.0013,0.005
t3.nano,t3,nano,Burstable,2,0.5,5.0,eu-west-1,Spot,RHEL,0.0018,1.31,0.25,0.0009,0.0036
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,OnDemand,Linux,0.006,4.38,0.25,0.003,0.012
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,OnDemand,Windows,0.0087,6.35,0.25,0.0043,0.0174
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,OnDemand,RHEL,0.0064,4.67,0.25,0.0032,0.0128
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-1yr,Linux,0.0036,2.63,0.25,0.0018,0.0072
t3.nano,t3,nano,Burstable,2,0.5,5.0,ap-southeast-1,Reserved-1yr,Windows,0.0052,3.8,0.25,0.0026,0.0104
